Renda familiar - per capita - média
Sigla;Código;Município;1970;1980;1991;
AL;2709004;Tanque d'Arca;0,12;0,25;0,28;
AL;2709103;Taquarana;0,17;0,34;0,29;
AL;2709152;Teotônio Vilela;;;0,37;
AL;2709202;Traipu;0,13;0,29;0,18;
AL;2709301;União dos Palmares;0,22;0,49;0,42;
AL;2709400;Viçosa;0,21;0,42;0,4;
AM;1300029;Alvarães;;;0,58;
AM;1300060;Amaturá;;;0,31;
AM;1300086;Anamã;;;0,55;
AM;1300102;Anori;0,21;0,65;0,5;
AM;1300144;Apuí;;;0,71;
AM;1300201;Atalaia do Norte;0,37;0,53;0,52;
AM;1300300;Autazes;0,31;0,51;0,57;
AM;1300409;Barcelos;0,53;0,9;0,6;
AM;1300508;Barreirinha;0,2;0,41;0,42;
AM;1300607;Benjamin Constant;0,34;0,68;0,76;
AM;1300631;Beruri;;;0,34;
AM;1300680;Boa Vista do Ramos;;;0,38;
AM;1300706;Boca do Acre;0,35;0,72;0,48;
AM;1300805;Borba;0,2;0,53;0,48;
AM;1300839;Caapiranga;;;0,47;
AM;1300904;Canutama;0,33;0,53;0,39;
AM;1301001;Carauari;0,31;0,5;0,48;
AM;1301100;Careiro;0,3;0,54;0,76;
AM;1301159;Careiro da Várzea;;;0,5;
AM;1301209;Coari;0,3;0,49;0,43;
AM;1301308;Codajás;0,27;0,69;0,61;
AM;1301407;Eirunepé;0,21;0,56;0,31;
AM;1301506;Envira;0,24;0,46;0,29;
AM;1301605;Fonte Boa;0,26;0,58;0,45;
AM;1301654;Guajará;;;0,39;
AM;1301704;Humaitá;0,31;0,79;0,51;
AM;1301803;Ipixuna;0,22;0,36;0,21;
AM;1301852;Iranduba;;;0,61;
AM;1301902;Itacoatiara;0,28;0,75;0,64;
AM;1301951;Itamarati;;;0,49;
AM;1302009;Itapiranga;0,3;0,67;0,51;
AM;1302108;Japurá;0,3;0,86;0,47;
AM;1302207;Juruá;0,3;0,77;0,33;
AM;1302306;Jutaí;0,51;0,77;0,43;
AM;1302405;Lábrea;0,22;0,61;0,45;
AM;1302504;Manacapuru;0,26;0,72;0,57;
AM;1302553;Manaquiri;;;0,55;
AM;1302603;Manaus;0,78;1,61;1,55;
AM;1302702;Manicoré;0,31;0,67;0,46;
AM;1302801;Maraã;0,25;0,44;0,38;
AM;1302900;Maués;0,33;0,54;0,76;
AM;1303007;Nhamundá;0,22;0,38;0,42;
AM;1303106;Nova Olinda do Norte;0,26;0,65;0,51;
AM;1303205;Novo Airão;0,68;0,66;0,43;
AM;1303304;Novo Aripuanã;0,34;0,65;0,57;
AM;1303403;Parintins;0,32;0,65;0,6;
AM;1303502;Pauini;0,27;0,65;0,54;
AM;1303536;Presidente Figueiredo;;;1,17;
AM;1303569;Rio Preto da Eva;;;0,66;
AM;1303601;Santa Isabel do Rio Negro;0,28;0,57;0,29;
AM;1303700;Santo Antônio do Içá;0,26;0,4;0,4;
AM;1303809;São Gabriel da Cachoeira;0,35;0,45;0,71;
AM;1303908;São Paulo de Olivença;0,24;0,46;0,23;
AM;1303957;São Sebastião do Uatumã;;;0,88;
AM;1304005;Silves;0,22;1,15;0,74;
AM;1304062;Tabatinga;;;0,57;
AM;1304104;Tapauá;0,34;0,61;0,25;
AM;1304203;Tefé;0,36;0,66;0,61;
AM;1304237;Tonantins;;;0,32;
AM;1304260;Uarini;;;0,71;
AM;1304302;Urucará;0,27;0,65;0,61;
AM;1304401;Urucurituba;0,17;0,59;0,25;
AP;1600055;Serra do Navio;;;;
AP;1600105;Amapá;0,29;0,48;0,58;
AP;1600154;Pedra Branca do Amaparí;;;;
AP;1600204;Calçoene;0,39;1;0,77;
AP;1600212;Cutias;;;;
AP;1600238;Ferreira Gomes;;;0,41;
AP;1600253;Itaubal;;;;
AP;1600279;Laranjal do Jari;;;0,87;
AP;1600303;Macapá;0,53;0,93;1,3;
AP;1600402;Mazagão;0,38;0,79;0,49;
AP;1600501;Oiapoque;0,59;0,86;0,99;
AP;1600535;Porto Grande;;;;
AP;1600550;Pracuúba;;;;
AP;1600600;Santana;;;0,83;
AP;1600709;Tartarugalzinho;;;0,51;
AP;1600808;Vitória do Jari;;;;
BA;2900108;Abaíra;0,19;0,47;0,41;
BA;2900207;Abaré;0,16;0,59;0,42;
BA;2900306;Acajutiba;0,2;0,44;0,39;
BA;2900355;Adustina;;;0,33;
BA;2900405;Água Fria;0,2;0,34;0,22;
BA;2900504;Érico Cardoso;0,17;0,23;0,35;
BA;2900603;Aiquara;0,21;0,62;0,38;
BA;2900702;Alagoinhas;0,44;0,94;0,81;
BA;2900801;Alcobaça;0,22;0,74;0,47;
BA;2900900;Almadina;0,33;0,43;0,23;
BA;2901007;Amargosa;0,23;0,5;0,44;
BA;2901106;Amélia Rodrigues;0,4;0,6;0,48;
BA;2901155;América Dourada;;;0,34;
BA;2901205;Anagé;0,17;0,34;0,26;
BA;2901304;Andaraí;0,25;0,52;0,43;
BA;2901353;Andorinha;;;0,32;
BA;2901403;Angical;0,18;0,35;0,35;
BA;2901502;Anguera;0,2;0,45;0,27;
BA;2901601;Antas;0,25;0,44;0,38;
BA;2901700;Antônio Cardoso;0,16;0,38;0,22;
BA;2901809;Antônio Gonçalves;0,22;0,34;0,28;
BA;2901908;Aporá;0,16;0,4;0,32;
BA;2901957;Apuarema;;;0,27;
BA;2902005;Aracatu;0,14;0,38;0,2;
BA;2902054;Araças;;;0,31;
BA;2902104;Araci;0,18;0,37;0,24;
BA;2902203;Aramari;0,25;0,51;0,35;
BA;2902252;Arataca;;;0,25;
BA;2902302;Aratuípe;0,27;0,4;0,36;
BA;2902401;Aurelino Leal;0,27;0,8;0,3;
BA;2902500;Baianópolis;0,17;0,27;0,27;
BA;2902609;Baixa Grande;0,16;0,42;0,23;
BA;2902658;Banzaê;;;0,31;
BA;2902708;Barra;0,18;0,41;0,26;
BA;2902807;Barra da Estiva;0,19;0,63;0,34;
BA;2902906;Barra do Choça;0,24;0,54;0,39;
BA;2903003;Barra do Mendes;0,27;0,53;0,39;
BA;2903102;Barra do Rocha;0,27;0,47;0,26;
BA;2903201;Barreiras;0,21;0,9;0,94;
BA;2903235;Barro Alto;;;0,33;
BA;2903276;Barrocas;;;;
BA;2903300;Governador Lomanto Júnior;0,3;0,56;0,2;
BA;2903409;Belmonte;0,39;0,62;0,41;
BA;2903508;Belo Campo;0,21;0,5;0,37;
BA;2903607;Biritinga;0,18;0,39;0,32;
BA;2903706;Boa Nova;0,23;0,39;0,27;
BA;2903805;Boa Vista do Tupim;0,22;0,39;0,23;
BA;2903904;Bom Jesus da Lapa;0,25;0,45;0,5;
BA;2903953;Bom Jesus da Serra;;;0,26;
BA;2904001;Boninal;0,22;0,33;0,33;
BA;2904050;Bonito;;;0,37;
BA;2904100;Boquira;0,26;0,42;0,33;
BA;2904209;Botuporã;0,21;0,26;0,19;
BA;2904308;Brejões;0,22;0,59;0,35;
BA;2904407;Brejolândia;0,13;0,37;0,3;
BA;2904506;Brotas de Macaúbas;0,19;0,28;0,29;
BA;2904605;Brumado;0,29;0,75;0,59;
BA;2904704;Buerarema;0,33;0,83;0,38;
BA;2904753;Buritirama;;;0,23;
BA;2904803;Caatiba;0,14;0,45;0,28;
BA;2904852;Cabaceiras do Paraguaçu;;;0,21;
BA;2904902;Cachoeira;0,34;0,61;0,48;
BA;2905008;Caculé;0,22;0,39;0,38;
BA;2905107;Caém;0,17;0,37;0,24;
BA;2905156;Caetanos;;;0,25;
BA;2905206;Caetité;0,21;0,43;0,42;
BA;2905305;Cafarnaum;0,17;0,53;0,34;
BA;2905404;Cairu;0,23;0,54;0,39;
BA;2905503;Caldeirão Grande;0,18;0,34;0,31;
BA;2905602;Camacan;0,4;0,81;0,35;
BA;2905701;Camaçari;0,51;0,99;0,75;
BA;2905800;Camamu;0,3;0,92;0,33;
BA;2905909;Campo Alegre de Lourdes;0,16;0,35;0,19;
BA;2906006;Campo Formoso;0,22;0,57;0,33;
BA;2906105;Canápolis;0,19;0,35;0,23;
BA;2906204;Canarana;0,19;0,54;0,48;
BA;2906303;Canavieiras;0,36;0,82;0,39;
BA;2906402;Candeal;0,23;0,34;0,29;
BA;2906501;Candeias;0,55;0,91;0,66;
BA;2906600;Candiba;0,22;0,38;0,3;
BA;2906709;Cândido Sales;0,22;0,61;0,41;
BA;2906808;Cansanção;0,12;0,39;0,28;
BA;2906824;Canudos;;;0,3;
BA;2906857;Capela do Alto Alegre;;;0,4;
BA;2906873;Capim Grosso;;;0,36;
BA;2906899;Caraíbas;;;0,35;
BA;2906907;Caravelas;0,25;0,64;0,41;
BA;2907004;Cardeal da Silva;0,21;0,52;0,28;
BA;2907103;Carinhanha;0,3;0,53;0,28;
BA;2907202;Casa Nova;0,11;0,3;0,31;
BA;2907301;Castro Alves;0,21;0,37;0,38;
BA;2907400;Catolândia;0,06;0,38;0,31;
BA;2907509;Catu;0,39;0,92;0,57;
BA;2907558;Caturama;;;0,3;
BA;2907608;Central;0,21;0,71;0,39;
BA;2907707;Chorrochó;0,15;0,41;0,21;
BA;2907806;Cícero Dantas;0,18;0,48;0,4;
BA;2907905;Cipó;0,24;0,52;0,43;
BA;2908002;Coaraci;0,34;0,79;0,38;
BA;2908101;Cocos;0,14;0,42;0,34;
BA;2908200;Conceição da Feira;0,3;0,59;0,48;
BA;2908309;Conceição do Almeida;0,23;0,49;0,41;
BA;2908408;Conceição do Coité;0,29;0,66;0,39;
BA;2908507;Conceição do Jacuípe;0,39;0,65;0,59;
BA;2908606;Conde;0,21;0,46;0,28;
BA;2908705;Condeúba;0,19;0,33;0,29;
BA;2908804;Contendas do Sincorá;0,32;0,55;0,42;
BA;2908903;Coração de Maria;0,22;0,52;0,36;
BA;2909000;Cordeiros;0,23;0,33;0,28;
BA;2909109;Coribe;0,21;0,27;0,43;
BA;2909208;Coronel João Sá;0,14;0,42;0,31;
BA;2909307;Correntina;0,21;0,37;0,4;
BA;2909406;Cotegipe;0,2;0,52;0,3;
BA;2909505;Cravolândia;0,21;0,58;0,26;
BA;2909604;Crisópolis;0,2;0,58;0,39;
BA;2909703;Cristópolis;0,09;0,22;0,41;
BA;2909802;Cruz das Almas;0,35;0,79;0,63;
BA;2909901;Curaçá;0,23;0,37;0,42;
BA;2910008;Dário Meira;0,22;0,47;0,24;
BA;2910057;Dias d'Ávila;;;0,79;
BA;2910107;Dom Basílio;0,12;0,29;0,38;
BA;2910206;Dom Macedo Costa;0,29;0,5;0,32;
BA;2910305;Elísio Medrado;0,18;0,42;0,35;
BA;2910404;Encruzilhada;0,18;0,47;0,34;
BA;2910503;Entre Rios;0,29;0,53;0,4;
BA;2910602;Esplanada;0,31;0,57;0,45;
BA;2910701;Euclides da Cunha;0,18;0,44;0,3;
BA;2910727;Eunápolis;;;0,69;
BA;2910750;Fátima;;;0,25;
BA;2910776;Feira da Mata;;;0,54;
BA;2910800;Feira de Santana;0,58;1;0,94;
BA;2910859;Filadélfia;;;0,28;
BA;2910909;Firmino Alves;0,31;0,49;0,44;
BA;2911006;Floresta Azul;0,3;0,63;0,34;
BA;2911105;Formosa do Rio Preto;0,12;0,57;0,6;
BA;2911204;Gandu;0,31;0,83;0,78;
BA;2911253;Gavião;;;0,52;
BA;2911303;Gentio do Ouro;0,22;0,39;0,55;
BA;2911402;Glória;0,11;0,37;0,35;
BA;2911501;Gongogi;0,32;0,49;0,23;
BA;2911600;Governador Mangabeira;0,22;0,5;0,32;
BA;2911659;Guajeru;;;0,33;
BA;2911709;Guanambi;0,27;0,71;0,61;
BA;2911808;Guaratinga;0,18;0,43;0,54;
BA;2911857;Heliópolis;;;0,27;
BA;2911907;Iaçu;0,24;0,52;0,33;
BA;2912004;Ibiassucê;0,14;0,33;0,4;
BA;2912103;Ibicaraí;0,37;0,66;0,41;
BA;2912202;Ibicoara;0,19;0,45;0,28;
BA;2912301;Ibicuí;0,23;0,54;0,75;
BA;2912400;Ibipeba;0,25;0,45;0,37;
BA;2912509;Ibipitanga;0,13;0,3;0,38;
BA;2912608;Ibiquera;0,24;0,44;0,22;
BA;2912707;Ibirapitanga;0,31;0,62;0,27;
BA;2912806;Ibirapuã;0,17;0,5;0,43;
BA;2912905;Ibirataia;0,29;0,86;0,42;
BA;2913002;Ibitiara;0,17;0,45;0,27;
BA;2913101;Ibititá;0,15;0,58;0,36;
BA;2913200;Ibotirama;0,23;0,45;0,44;
BA;2913309;Ichu;0,14;0,43;0,36;
BA;2913408;Igaporã;0,24;0,47;0,32;
BA;2913457;Igrapiúna;;;0,35;
BA;2913507;Iguaí;0,21;0,47;0,39;
BA;2913606;Ilhéus;0,52;1,09;0,6;
BA;2913705;Inhambupe;0,2;0,45;0,32;
BA;2913804;Ipecaetá;0,15;0,36;0,32;
BA;2913903;Ipiaú;0,38;1,06;0,6;
BA;2914000;Ipirá;0,19;0,42;0,38;
BA;2914109;Ipupiara;0,17;0,32;0,34;
BA;2914208;Irajuba;0,15;0,4;0,25;
BA;2914307;Iramaia;0,26;0,44;0,27;
BA;2914406;Iraquara;0,18;0,32;0,29;
BA;2914505;Irará;0,26;0,48;0,35;
BA;2914604;Irecê;0,3;0,96;0,71;
BA;2914653;Itabela;;;0,42;
BA;2914703;Itaberaba;0,29;0,57;0,47;
BA;2914802;Itabuna;0,64;1,34;0,92;
BA;2914901;Itacaré;0,33;0,61;0,46;
BA;2915007;Itaeté;0,32;0,45;0,24;
BA;2915106;Itagi;0,25;0,5;0,28;
BA;2915205;Itagibá;0,22;0,49;0,31;
BA;2915304;Itagimirim;0,22;0,51;0,5;
BA;2915353;Itaguaçu da Bahia;;;0,19;
BA;2915403;Itaju do Colônia;0,24;0,51;0,26;
BA;2915502;Itajuípe;0,43;0,73;0,44;
BA;2915601;Itamaraju;0,23;0,65;0,64;
BA;2915700;Itamari;0,43;0,86;0,47;
BA;2915809;Itambé;0,3;0,51;0,4;
BA;2915908;Itanagra;0,21;0,52;0,29;
BA;2916005;Itanhém;0,17;0,52;0,49;
BA;2916104;Itaparica;0,46;0,88;0,42;
BA;2916203;Itapé;0,28;0,47;0,23;
BA;2916302;Itapebi;0,32;0,53;0,31;
BA;2916401;Itapetinga;0,44;0,93;0,7;
BA;2916500;Itapicuru;0,18;0,36;0,32;
BA;2916609;Itapitanga;0,24;0,5;0,4;
BA;2916708;Itaquara;0,24;0,44;0,3;
BA;2916807;Itarantim;0,21;0,46;0,3;
BA;2916856;Itatim;;;0,32;
BA;2916906;Itiruçu;0,3;0,64;0,37;
BA;2917003;Itiúba;0,17;0,41;0,35;
BA;2917102;Itororó;0,36;0,65;0,4;
BA;2917201;Ituaçu;0,21;0,46;0,44;
BA;2917300;Ituberá;0,28;0,78;0,33;
BA;2917334;Iuiú;;;0,37;
BA;2917359;Jaborandi;;;0,3;
BA;2917409;Jacaraci;0,09;0,41;0,31;
BA;2917508;Jacobina;0,27;0,65;0,58;
BA;2917607;Jaguaquara;0,24;0,63;0,44;
BA;2917706;Jaguarari;0,2;0,67;0,41;
BA;2917805;Jaguaripe;0,21;0,44;0,33;
BA;2917904;Jandaíra;0,15;0,4;0,29;
BA;2918001;Jequié;0,38;0,83;0,58;
BA;2918100;Jeremoabo;0,2;0,42;0,4;
BA;2918209;Jiquiriçá;0,19;0,49;0,33;
BA;2918308;Jitaúna;0,28;0,5;0,3;
BA;2918357;João Dourado;;;0,37;
BA;2918407;Juazeiro;0,41;0,78;0,63;
BA;2918456;Jucuruçu;;;0,27;
BA;2918506;Jussara;0,54;0,6;0,26;
BA;2918555;Jussari;;;0,28;
BA;2918605;Jussiape;0,19;0,41;0,46;
BA;2918704;Lafaiete Coutinho;0,2;0,6;0,21;
BA;2918753;Lagoa Real;;;0,22;
BA;2918803;Laje;0,27;0,47;0,45;
BA;2918902;Lajedão;0,18;0,7;0,99;
BA;2919009;Lajedinho;0,16;0,43;0,23;
BA;2919058;Lajedo do Tabocal;;;0,31;
BA;2919108;Lamarão;0,22;0,3;0,25;
BA;2919157;Lapão;;;0,39;
BA;2919207;Lauro de Freitas;0,38;0,99;1,25;
BA;2919306;Lençóis;0,32;0,58;0,47;
BA;2919405;Licínio de Almeida;0,2;0,48;0,37;
BA;2919504;Livramento de Nossa Senhora;0,21;0,49;0,47;
BA;2919553;Luís Eduardo Magalhães;;;;
BA;2919603;Macajuba;0,13;0,33;0,28;
BA;2919702;Macarani;0,2;0,42;0,39;
BA;2919801;Macaúbas;0,19;0,31;0,3;
BA;2919900;Macururé;0,18;0,29;0,2;
BA;2919926;Madre de Deus;;;0,65;
BA;2919959;Maetinga;;;0,27;
BA;2920007;Maiquinique;0,15;0,42;0,32;
BA;2920106;Mairi;0,23;0,45;0,35;
BA;2920205;Malhada;0,18;0,42;0,22;
BA;2920304;Malhada de Pedras;0,24;0,42;0,38;
BA;2920403;Manoel Vitorino;0,15;0,36;0,24;
BA;2920452;Mansidão;;;0,21;
BA;2920502;Maracás;0,2;0,51;0,34;
BA;2920601;Maragogipe;0,24;0,58;0,39;
BA;2920700;Maraú;0,22;0,46;0,3;
BA;2920809;Marcionílio Souza;0,24;0,58;0,27;
BA;2920908;Mascote;0,3;0,69;0,29;
BA;2921005;Mata de São João;0,35;0,74;0,53;
BA;2921054;Matina;;;0,22;
BA;2921104;Medeiros Neto;0,22;0,62;0,61;
BA;2921203;Miguel Calmon;0,21;0,48;0,37;
BA;2921302;Milagres;0,26;0,57;0,41;
BA;2921401;Mirangaba;0,17;0,45;0,25;
BA;2921450;Mirante;;;0,36;
BA;2921500;Monte Santo;0,2;0,4;0,27;
BA;2921609;Morpará;0,18;0,35;0,29;
BA;2921708;Morro do Chapéu;0,22;0,58;0,42;
BA;2921807;Mortugaba;0,15;0,34;0,31;
BA;2921906;Mucugê;0,17;0,55;0,4;
BA;2922003;Mucuri;0,2;0,73;0,6;
BA;2922052;Mulungu do Morro;;;0,27;
BA;2922102;Mundo Novo;0,26;0,53;0,33;
BA;2922201;Muniz Ferreira;0,31;0,47;0,33;
BA;2922250;Muquém de São Francisco;;;0,25;
BA;2922300;Muritiba;0,27;0,51;0,44;
BA;2922409;Mutuípe;0,26;0,6;0,35;
BA;2922508;Nazaré;0,36;0,69;0,48;
BA;2922607;Nilo Peçanha;0,29;0,6;0,36;
BA;2922656;Nordestina;;;0,23;
BA;2922706;Nova Canaã;0,19;0,53;0,41;
BA;2922730;Nova Fátima;;;0,72;
BA;2922755;Nova Ibiá;;;0,35;
BA;2922805;Nova Itarana;0,17;0,42;0,26;
BA;2922854;Nova Redenção;;;0,29;
BA;2922904;Nova Soure;0,15;0,39;0,37;
BA;2923001;Nova Viçosa;0,22;0,81;0,62;
BA;2923035;Novo Horizonte;;;0,42;
BA;2923050;Novo Triunfo;;;0,21;
BA;2923100;Olindina;0,18;0,43;0,29;
BA;2923209;Oliveira dos Brejinhos;0,2;0,34;0,25;
BA;2923308;Ouriçangas;0,19;0,32;0,36;
BA;2923357;Ourolândia;;;0,31;
BA;2923407;Palmas de Monte Alto;0,17;0,46;0,34;
BA;2923506;Palmeiras;0,19;0,57;0,46;
BA;2923605;Paramirim;0,16;0,5;0,28;
BA;2923704;Paratinga;0,22;0,24;0,22;
BA;2923803;Paripiranga;0,15;0,57;0,54;
BA;2923902;Pau Brasil;0,33;0,58;0,36;
BA;2924009;Paulo Afonso;0,42;0,81;0,76;
BA;2924058;Pé de Serra;;;0,24;
BA;2924108;Pedrão;0,2;0,48;0,34;
BA;2924207;Pedro Alexandre;0,17;0,44;0,25;
BA;2924306;Piatã;0,14;0,39;0,25;
BA;2924405;Pilão Arcado;0,15;0,31;0,16;
BA;2924504;Pindaí;0,18;0,54;0,3;
BA;2924603;Pindobaçu;0,21;0,37;0,25;
BA;2924652;Pintadas;;;0,35;
BA;2924678;Piraí do Norte;;;0,35;
BA;2924702;Piripá;0,17;0,41;0,34;
BA;2924801;Piritiba;0,21;0,58;0,33;
BA;2924900;Planaltino;0,19;0,74;0,3;
BA;2925006;Planalto;0,28;0,41;0,32;
BA;2925105;Poções;0,25;0,46;0,4;
BA;2925204;Pojuca;0,41;0,95;0,71;
BA;2925253;Ponto Novo;;;0,21;
BA;2925303;Porto Seguro;0,23;1,07;0,65;
BA;2925402;Potiraguá;0,26;0,5;0,34;
BA;2925501;Prado;0,21;0,61;0,41;
BA;2925600;Presidente Dutra;0,1;0,52;0,35;
BA;2925709;Presidente Jânio Quadros;0,12;0,3;0,28;
BA;2925758;Presidente Tancredo Neves;;;0,26;
BA;2925808;Queimadas;0,19;0,39;0,3;
BA;2925907;Quijingue;0,16;0,36;0,21;
BA;2925931;Quixabeira;;;0,24;
BA;2925956;Rafael Jambeiro;;;0,32;
BA;2926004;Remanso;0,19;0,51;0,36;
BA;2926103;Retirolândia;0,25;0,56;0,3;
BA;2926202;Riachão das Neves;0,2;0,44;0,3;
BA;2926301;Riachão do Jacuípe;0,21;0,59;0,44;
BA;2926400;Riacho de Santana;0,21;0,38;0,3;
BA;2926509;Ribeira do Amparo;0,22;0,34;0,25;
BA;2926608;Ribeira do Pombal;0,23;0,53;0,49;
BA;2926657;Ribeirão do Largo;;;0,32;
BA;2926707;Rio de Contas;0,19;0,39;0,37;
BA;2926806;Rio do Antônio;0,16;0,4;0,28;
BA;2926905;Rio do Pires;0,12;0,4;0,33;
BA;2927002;Rio Real;0,16;0,48;0,52;
BA;2927101;Rodelas;0,2;0,41;0,69;
BA;2927200;Ruy Barbosa;0,22;0,56;0,4;
